areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
All Downtown,Manhattan,submarket,2342.5,2300.0,2200.0,2250.0,2300.0,2297.0,2275.0,2300.0,2450.0,2525.0,2500.0,2425.0,2450.0,2450.0,2395.0,2445.0,2400.0,2400.0,2450.0,2450.0,2500.0,2500.0,2475.0,2450.0,2450.0,2475.0,2495.0,2500.0,2500.0,2499.0,2500.0,2499.0,2500.0,2500.0,2500.0,2592.5,2599.5,2600.0,2600.0,2600.0,2595.0,2550.0,2525.0,2600.0,2600.0,2675.0,2695.0,2670.0,2675.0,2650.0,2700.0,2750.0,2750.0,2650.0,2675.0,2697.0,2700.0,2750.0,2750.0,2750.0,2700.0,2770.0,2800.0,2800.0,2800.0,2750.0,2750.0,2800.0,2850.0,2800.0,2775.0,2800.0,2775.0,2800.0,2820.0,2850.0,2838.0,2850.0,2807.5,2800.0,2750.0,2750.0,2750.0,2715.0,2705.0,2775.0,2750.0,2750.0,2750.0,2750.0,2750.0,2725.0,2750.0,2750.0,2700.0,2695.0,2708.0,2725.0,2750.0,2750.0,2795.0,2800.0,2795.0,2800.0,2850.0,2791.0,2800.0,2800.0,2850.0,2900.0,2875.0,2897.0,2950.0,2950.0,2925.0,2900.0,2900.5,2980.0,2980.0,2964.5,2995.0,2995.0,2900.0,2825.0,2700.0,2595.0,2500.0,2450.0,2395.0,2350.0,2300.0,2295.0,2300.0,2388.5,2408.5,2495.0,2527.5,2674.0,2785.5,2800.5,2975.0,3000.0,3100.0,3200.0,3300.0,3450.0,3495.0,3500.0,3450.0,3495.0,3400.0,3470.0,3500.0,3478.0,3444.0,3461.5,3500.0,3500.0,3500.0,3549.5,3575.0,3575.0,3525.0,3544.0,3515.0,3477.0,3400.0,3495.0,3500.0,3592.0,3650.0,3795.0,3700.0,3700.0,3650.0,3650.0,3650.0,3600.0,3550.0,3600.0,3700.0,3850.0,3875.0,3900.0,3875.0,3873.0,3915.0,3925.0,3985.5,3995.0,3995.0,3957.0,4000.0,4095.0,4132.0
All Midtown,Manhattan,submarket,2000.0,1995.0,1995.0,2000.0,2000.0,2000.0,2050.0,2095.0,2100.0,2150.0,2150.0,2185.0,2150.0,2195.0,2200.0,2250.0,2250.0,2350.0,2300.0,2300.0,2300.0,2335.0,2339.0,2350.0,2350.0,2345.0,2347.5,2350.0,2375.0,2378.0,2397.5,2303.0,2350.0,2300.0,2350.0,2352.5,2350.0,2397.5,2400.0,2395.0,2375.0,2395.0,2397.5,2400.0,2450.0,2400.0,2350.0,2400.0,2400.0,2495.0,2450.0,2495.0,2500.0,2500.0,2495.0,2500.0,2500.0,2500.0,2550.0,2550.0,2500.0,2550.0,2550.0,2600.0,2650.0,2600.0,2600.0,2650.0,2695.0,2600.0,2595.0,2595.0,2600.0,2600.0,2600.0,2599.5,2635.0,2650.0,2650.0,2640.0,2600.0,2600.0,2590.0,2600.0,2550.0,2550.0,2595.0,2600.0,2600.0,2600.0,2595.0,2600.0,2595.0,2595.0,2475.0,2475.0,2450.0,2500.0,2500.0,2550.0,2550.0,2595.0,2595.0,2595.0,2575.0,2550.0,2595.0,2650.0,2650.0,2690.0,2640.5,2650.0,2650.0,2699.0,2700.0,2699.0,2700.0,2675.0,2700.0,2700.0,2695.0,2723.0,2750.0,2688.5,2521.0,2454.5,2327.5,2250.0,2195.0,2146.0,2100.0,2100.0,2100.0,2150.0,2172.5,2250.0,2350.0,2400.0,2500.0,2600.0,2670.0,2650.0,2800.0,2950.0,3000.0,3100.0,3145.0,3232.0,3300.0,3200.0,3300.0,3256.0,3200.0,3150.0,3145.0,3200.0,3200.0,3250.0,3350.0,3409.0,3400.0,3400.0,3400.0,3324.0,3300.0,3293.5,3285.0,3275.0,3250.0,3287.0,3300.0,3402.5,3495.0,3450.0,3410.0,3400.0,3300.0,3395.0,3372.0,3400.0,3447.5,3450.0,3500.0,3595.0,3577.5,3615.0,3700.0,3650.0,3600.0,3550.0,3500.0,3550.0,3623.5,3700.0,3695.0
All Upper East Side,Manhattan,submarket,1750.0,1750.0,1750.0,1780.0,1800.0,1750.0,1750.0,1700.0,1750.0,1800.0,1750.0,1750.0,1750.0,1750.0,1655.0,1695.0,1700.0,1825.0,1850.0,1850.0,1897.5,1900.0,1875.0,1925.0,1875.0,1875.0,1850.0,1850.0,1850.0,1850.0,1850.0,1895.0,1895.0,1895.0,1850.0,1897.5,1895.0,1950.0,1925.0,1850.0,1895.0,1949.0,1900.0,1900.0,1895.0,1900.0,1950.0,1900.0,1880.0,1900.0,1925.0,1927.0,1900.0,1900.0,1900.0,1925.0,1900.0,1937.5,1900.0,1900.0,1900.0,1900.0,1950.0,2025.0,2075.0,2065.0,2050.0,2100.0,2125.0,2150.0,2100.0,2100.0,2097.5,2097.0,2150.0,2100.0,2125.0,2150.0,2150.0,2149.0,2149.5,2100.0,2099.0,2100.0,2099.5,2050.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2099.0,2075.0,2050.0,2075.0,2050.0,2075.0,2095.0,2100.0,2095.0,2050.0,2050.0,2100.0,2100.0,2137.5,2116.5,2150.0,2100.0,2150.0,2150.0,2150.0,2175.0,2150.0,2108.0,2150.0,2153.0,2150.0,2195.0,2250.0,2250.0,2245.0,2250.0,2245.0,2150.0,2050.0,1995.0,1950.0,1900.0,1850.0,1825.0,1800.0,1799.0,1800.0,1798.0,1800.0,1850.0,1890.0,1950.0,2000.0,2075.0,2050.0,2075.0,2150.0,2250.0,2350.0,2297.5,2350.0,2500.0,2450.0,2435.0,2495.0,2495.0,2450.0,2500.0,2500.0,2500.0,2600.0,2511.0,2525.0,2550.0,2600.0,2600.0,2600.0,2500.0,2500.0,2500.0,2595.0,2562.5,2600.0,2612.5,2646.0,2650.0,2650.0,2650.0,2695.0,2650.0,2695.0,2750.0,2800.0,2800.0,2800.0,2800.0,2800.0,2895.0,2913.0,2975.0,2931.5,2850.0,2800.0,2800.0,2850.0,2950.0,3000.0,3000.0
All Upper Manhattan,Manhattan,submarket,1175.0,1150.0,1150.0,1150.0,1150.0,1195.0,1250.0,1197.5,1200.0,1207.5,1215.5,1200.0,1208.0,1100.0,1200.0,1425.0,1475.0,1550.0,1472.5,1580.0,1572.5,1550.0,1400.0,1500.0,1350.0,1500.0,1450.0,1450.0,1450.0,1500.0,1600.0,1525.0,1595.0,1500.0,1585.0,1450.0,1400.0,1400.0,1400.0,1350.0,1375.0,1400.0,1487.5,1500.0,1425.0,1425.0,1412.5,1400.0,1400.0,1450.0,1400.0,1450.0,1500.0,1550.0,1475.0,1500.0,1495.0,1492.5,1585.0,1567.5,1475.0,1500.0,1500.0,1500.0,1575.0,1595.0,1600.0,1650.0,1600.0,1650.0,1675.0,1600.0,1650.0,1600.0,1650.0,1650.0,1675.0,1650.0,1625.0,1600.0,1600.0,1656.0,1699.5,1699.0,1699.0,1650.0,1650.0,1695.0,1687.0,1675.0,1695.0,1745.0,1731.5,1700.0,1650.0,1650.0,1675.0,1685.0,1695.0,1700.0,1750.0,1785.0,1750.0,1795.0,1795.0,1750.0,1700.0,1700.0,1700.0,1750.0,1700.0,1750.0,1795.0,1812.5,1800.0,1800.0,1799.5,1780.0,1750.0,1750.0,1795.0,1800.0,1825.0,1825.0,1835.0,1800.0,1750.0,1700.0,1695.0,1692.0,1650.0,1625.0,1650.0,1673.0,1650.0,1675.0,1695.0,1700.0,1740.0,1725.0,1700.0,1725.0,1750.0,1750.0,1800.0,1850.0,1870.0,1945.0,1949.5,1990.0,2050.0,2050.0,2000.0,2000.0,1950.0,1950.0,1987.5,2000.0,2175.5,2209.5,2195.0,2150.0,2100.0,2200.0,2250.0,2275.0,2250.0,2200.0,2200.0,2185.0,2095.0,2190.0,2250.0,2250.0,2377.0,2295.0,2320.0,2295.0,2300.0,2250.0,2200.0,2200.0,2200.0,2395.0,2597.5,2600.0,2550.0,2500.0,2500.0,2500.0,2593.5,2495.0,2395.0,2500.0,2495.0
All Upper West Side,Manhattan,submarket,1800.0,1800.0,1795.0,1800.0,1895.0,1895.0,1800.0,1895.0,1995.0,2000.0,2000.0,1895.0,1922.5,1950.0,1950.0,1962.5,2000.0,2000.0,2000.0,2150.0,2175.0,2095.0,2050.0,2050.0,2000.0,2000.0,2000.0,2095.0,2035.0,2033.0,2150.0,2170.5,2150.0,2100.0,2156.0,2150.0,2116.5,2163.0,2150.0,2150.0,2100.0,2100.0,2100.0,2150.0,2200.0,2200.0,2150.0,2157.5,2150.0,2185.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2250.0,2200.0,2200.0,2200.0,2195.0,2200.0,2250.0,2300.0,2350.0,2337.0,2300.0,2300.0,2300.0,2300.0,2273.0,2300.0,2295.0,2300.0,2300.0,2300.0,2350.0,2399.0,2350.0,2325.0,2350.0,2350.0,2300.0,2300.0,2250.0,2299.0,2295.0,2250.0,2300.0,2300.0,2295.0,2300.0,2300.0,2275.0,2298.0,2300.0,2275.0,2300.0,2295.0,2300.0,2300.0,2295.0,2300.0,2295.0,2200.0,2202.5,2269.0,2300.0,2300.0,2350.0,2399.5,2350.0,2325.0,2300.0,2300.0,2300.0,2350.0,2362.5,2450.0,2451.0,2485.0,2450.0,2390.5,2295.0,2200.0,2195.0,2100.0,2000.0,1995.0,1950.0,1895.0,1900.0,1895.0,1949.0,1950.0,1995.0,2100.0,2197.0,2200.0,2250.0,2300.0,2362.5,2495.0,2499.0,2550.0,2500.0,2611.0,2699.5,2700.0,2800.0,2797.5,2788.0,2825.0,2825.0,2800.0,2885.0,2803.0,2850.0,2870.0,2862.5,2877.0,2895.0,2900.0,2900.0,2900.0,2936.0,2995.0,3000.0,2995.0,2995.0,2995.0,2900.0,2995.0,3000.0,2950.0,2950.0,2900.0,2862.5,2925.0,2925.0,2995.0,2989.0,3038.0,3197.5,3127.5,3250.0,3300.0,3361.0,3400.0,3334.5,3300.0,3299.0,3295.0,3295.0,3300.0
Astoria,Queens,neighborhood,1141.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675.0,1400.0,1400.0,1462.5,1825.0,,1275.0,1749.5,1350.0,1575.0,1525.0,1600.0,1600.0,1650.0,1499.0,1537.5,1537.5,1500.0,1750.0,1750.0,1650.0,1697.5,1525.0,1637.5,1650.0,1562.5,1675.0,1725.0,1680.0,1550.0,1550.0,1500.0,1500.0,1550.0,1612.5,1637.5,1750.0,1850.0,1750.0,1950.0,1650.0,1550.0,1900.0,1850.0,1787.5,1662.5,1600.0,1612.5,1750.0,1750.0,1687.0,1750.0,1795.0,1795.0,1750.0,1700.0,1675.0,1797.5,1775.0,1700.0,1697.5,1662.5,1695.0,1700.0,1675.0,1615.0,1857.5,1700.0,1637.5,1725.0,1746.0,1745.5,1695.0,1700.0,1784.0,1750.0,1850.0,1750.0,1750.0,1650.0,1600.0,1675.0,1650.0,1650.0,1675.0,1700.0,1750.0,1750.0,1825.0,1750.0,1675.0,1750.0,1675.0,1675.0,1712.5,1700.0,1650.0,1700.0,1700.0,1650.0,1650.0,1600.0,1500.0,1550.0,1550.0,1575.0,1525.0,1540.0,1600.0,1605.0,1650.0,1700.0,1675.0,1650.0,1652.0,1750.0,1699.5,1650.0,1700.0,1822.5,1700.0,1895.0,1900.0,1850.0,1850.0,1975.0,1955.0,1950.0,2195.0,1866.0,1950.0,1900.0,2000.0,2025.0,2100.0,2075.0,2100.0,2000.0,2097.5,2000.0,2100.0,2225.0,2375.0,2450.0,2350.0,2350.0,2350.0,2299.0,2299.0,2200.0,2249.5,2400.0,2400.0,2495.0,2349.0,2400.0,2278.0,2200.0,2400.0,2347.5,2516.5,2500.0,2500.0,2495.0,2399.0,2500.0,2500.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.0,1750.0,1725.0,1700.0,1725.0,,
Battery Park City,Manhattan,neighborhood,2550.0,2300.0,2300.0,2500.0,2695.0,2795.0,2795.0,2500.0,2500.0,2650.0,2595.0,2500.0,2500.0,2295.0,2312.5,2500.0,2412.5,2500.0,2442.5,2450.0,2475.0,2475.0,2475.0,2625.0,2650.0,2595.0,2610.0,2725.0,2439.0,2550.0,2545.0,2475.0,2462.5,2472.5,2487.5,2595.0,2675.0,2650.0,2595.0,2672.5,2650.0,2650.0,2650.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2797.5,2900.0,3085.0,2800.0,2685.0,2762.5,2772.5,2850.0,2900.0,2600.0,2800.0,3100.0,2950.0,2935.0,2950.0,3050.0,2892.5,2950.0,3160.0,3000.0,2865.0,2925.0,3072.5,2995.0,3000.0,3000.0,3000.0,3100.0,3200.0,3100.0,3100.0,3100.0,3035.0,2977.0,3050.0,3050.0,2925.0,2950.0,2995.0,2960.0,2972.5,2950.0,2989.5,2915.0,2795.0,2686.0,2745.5,2870.0,3100.0,3100.0,3072.5,3090.0,3150.0,3350.0,3350.0,3200.0,2953.0,2908.0,3150.0,3150.0,3226.0,3180.0,3175.0,3150.0,3390.0,3392.5,3250.0,3186.0,3050.0,3100.0,3250.0,3250.0,3292.5,3250.0,2999.0,2800.5,2650.0,2595.0,2702.5,2705.0,2582.5,2650.0,2800.0,2835.0,2935.0,2999.0,3020.0,3155.0,3400.0,3347.5,3400.0,3445.0,3450.0,3495.0,3527.5,3450.0,3610.0,3660.0,3775.0,3771.0,3995.0,3982.0,3697.5,3402.0,3402.0,3466.5,3572.5,3607.5,3605.0,3545.0,3725.0,3985.0,3925.0,3807.5,3852.5,3700.0,3570.0,3590.0,3500.0,3545.0,3900.0,3950.0,4110.0,4165.0,4005.0,4017.5,3895.0,3868.0,3830.0,3860.0,3882.0,3911.0,3968.5,3995.0,4250.0,4246.0,4103.0,4199.5,4100.0,4104.0,3967.0,3817.0,3877.5,4123.5,4034.0
Bay Ridge,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295.0,1262.5,1250.0,1150.0,1200.0,1250.0,1245.0,1312.5,,1360.0,1397.5,1397.5,1450.0,1325.0,1325.0,1150.0,1250.0,1212.5,1187.5,1337.5,1450.0,1300.0,1300.0,1335.0,1350.0,1362.5,1350.0,1325.0,1375.0,1375.0,1350.0,1400.0,1400.0,1475.0,1447.5,,,,1300.0,1337.5,1372.5,1465.0,1457.5,1400.0,1485.0,1497.5,1462.5,1450.0,1475.0,1425.0,1425.0,1400.0,1675.0,1450.0,1425.0,1450.0,1500.0,1450.0,1450.0,1500.0,1524.5,1597.5,1475.0,1450.0,1550.0,1500.0,1500.0,1480.0,1485.0,1500.0,1567.5,1550.0,1549.0,1500.0,1497.0,1490.0,1459.0,1467.5,1512.5,1500.0,1537.0,1600.0,1600.0,1500.0,1500.0,1475.0,1450.0,1450.0,1400.0,1399.0,1362.5,1435.0,1425.0,1450.0,1450.0,1450.0,1475.0,1475.0,1450.0,1450.0,1475.0,1495.0,1500.0,1500.0,1525.0,1525.0,1550.0,1580.0,1599.5,1650.0,1550.0,1550.0,1600.0,1595.5,1585.0,1612.0,1650.0,1650.0,1625.0,1625.0,1600.0,1625.0,1650.0,1650.0,1650.0,1700.0,1675.0,1672.5,1695.0,1650.0,1700.0,1750.0,1750.0,1745.0,1675.0,1700.0,1747.5,1775.0,1812.5,1750.0,1800.0,1945.0,1862.5,1874.5,1900.0,1800.0,1772.5,1895.0,1922.5,1800.0,1837.5
