areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
All Downtown,Manhattan,submarket,6700.0,6500.0,6500.0,6995.0,6797.5,6000.0,6000.0,6000.0,8500.0,8000.0,7950.0,7300.0,7500.0,7900.0,7500.0,6750.0,6750.0,7100.0,6700.0,7000.0,8000.0,9000.0,9000.0,8500.0,8625.0,7500.0,6990.0,6895.0,6725.0,6697.5,5900.0,6200.0,6925.0,6995.0,6695.0,6995.0,6500.0,6775.0,7000.0,6500.0,6325.0,5995.0,5500.0,5500.0,5650.0,6000.0,6431.0,6497.5,6472.5,6900.0,6950.0,6400.0,6180.0,6500.0,6000.0,6200.0,6212.5,6397.5,6000.0,6000.0,6300.0,6750.0,6995.0,6450.0,6300.0,6150.0,5800.0,6095.0,7000.0,7930.5,7650.0,7084.5,7500.0,7500.0,7500.0,6995.0,6795.0,6795.0,6500.0,6495.0,7200.0,7105.5,7528.0,7499.0,7000.0,6950.0,6500.0,6195.0,6284.5,6000.0,5995.0,5995.0,6200.0,6797.5,7025.0,7112.5,7450.0,7200.0,6977.0,6225.0,6350.0,6000.0,5930.5,6000.0,6000.0,6205.5,6850.0,6862.0,7495.0,6997.5,7105.0,6495.0,6450.0,6300.0,6300.0,6500.0,7043.0,7897.5,8700.0,9750.0,9480.0,8770.0,7900.0,6575.0,6000.0,5800.0,5500.0,5294.0,5195.0,5000.0,5000.0,5124.0,5197.5,5200.0,5200.0,5500.0,6000.0,6225.0,6000.0,6500.0,6700.0,6500.0,6500.0,6545.0,6439.5,6600.0,6800.0,7000.0,7225.0,7400.0,7895.0,8000.0,8700.0,8495.0,8650.0,8500.0,7895.0,7995.0,7750.0,7495.0,7650.0,7800.0,7707.5,7697.5,7995.0,8000.0,8195.0,8111.0,8500.0,8550.0,8500.0,8095.0,7995.0,7995.0,7600.0,7750.0,8000.0,8250.0,8295.0,8200.0,8300.0,8495.0,8200.0,7995.0,8075.0,8100.0,8500.0,8799.0,9297.5,9099.5,9850.0,9190.0,9185.0,8995.0,8995.0
All Midtown,Manhattan,submarket,7500.0,7900.0,6775.0,5795.0,6250.0,6500.0,7500.0,7500.0,7500.0,7650.0,7795.0,7850.0,7800.0,8000.0,7900.0,7295.0,7200.0,8500.0,8500.0,7850.0,8872.5,8000.0,7000.0,7250.0,8150.0,8497.5,8375.0,7500.0,8997.5,8900.0,7500.0,7050.0,7400.0,7000.0,7200.0,7100.0,6195.0,6729.0,6500.0,6750.0,6600.0,7000.0,6895.0,6200.0,6025.0,6450.0,6850.0,6900.0,6350.0,6995.0,6890.0,6500.0,6500.0,6467.5,6300.0,6500.0,6950.0,6500.0,6750.0,6519.5,6595.0,6500.0,6412.0,6450.0,6297.5,5900.0,5995.0,5915.0,6200.0,6450.0,6625.0,6897.5,6700.0,6705.0,6650.0,6495.0,6395.0,6600.0,6172.5,6000.0,6000.0,6350.0,6500.0,6633.0,6900.0,6900.0,6900.0,6500.0,6260.0,6200.0,5999.5,5995.0,6300.0,5795.0,6000.0,6297.5,6295.0,6262.5,6311.0,6170.0,5900.0,5785.0,5760.0,5792.5,5900.0,5850.0,5905.5,6000.0,6115.0,6395.0,5695.0,6095.0,5895.0,5895.0,6000.0,5995.0,6275.0,6500.0,6450.0,6800.0,6640.0,6950.0,6785.0,6000.0,5400.0,5278.0,5000.0,4695.0,4631.0,4500.0,4497.5,4500.0,4600.0,4925.0,4999.0,5500.0,5600.0,6000.0,6450.0,7000.0,7400.0,7437.5,7650.0,7350.0,7319.0,7050.0,7395.0,7040.0,7495.0,7850.0,8175.0,8000.0,8150.0,7995.0,8050.0,8000.0,8200.0,8000.0,7697.5,7800.0,7722.0,7825.0,7500.0,7649.5,7688.0,7500.0,7500.0,7295.0,7500.0,8000.0,7497.5,7772.0,7500.0,7500.0,7500.0,7574.5,7417.5,7280.0,7500.0,7750.0,7725.0,7800.0,7995.0,7995.0,7810.5,7995.0,8000.0,7939.0,8020.0,8995.0,9200.0,9850.0,8997.5,8850.5,8683.0
All Upper East Side,Manhattan,submarket,8925.0,8950.0,9850.0,8400.0,8125.0,7860.0,7500.0,7100.0,7795.0,7910.0,8550.0,7500.0,7662.5,8990.0,9500.0,9500.0,8950.0,8500.0,8650.0,9000.0,10000.0,9500.0,9500.0,9575.0,11000.0,9650.0,10995.0,10497.5,9775.0,9300.0,8997.5,8995.0,11000.0,10000.0,9650.0,10000.0,9950.0,9972.5,10000.0,9950.0,9995.0,10000.0,8500.0,8000.0,8800.0,8800.0,8995.0,8759.5,8500.0,8200.0,9000.0,8050.0,9500.0,8500.0,8847.5,8000.0,8120.0,8500.0,9750.0,10000.0,10150.0,9800.0,8500.0,8400.0,7500.0,7500.0,7495.0,7600.0,7041.5,7495.0,7950.0,8062.5,8137.5,8500.0,8500.0,8900.0,8769.0,8500.0,8000.0,8000.0,8995.5,8530.0,8500.0,8500.0,8900.0,9450.0,8900.0,8997.5,7929.0,7500.0,7497.5,7272.5,7997.5,7937.5,7512.0,7775.0,7500.0,8495.0,7962.5,8497.5,7500.0,7104.0,6800.0,6995.0,7925.0,7950.0,8300.0,8900.0,8825.0,8750.0,8900.0,8333.0,8495.0,7995.0,7000.0,7804.0,8875.0,9200.0,9500.0,9800.0,9500.0,11500.0,12558.0,10125.0,8000.0,7200.0,7000.0,6500.0,6500.0,6500.0,6663.0,6787.5,6547.5,6000.0,6000.0,6750.0,6190.0,6697.5,6900.0,7500.0,8847.5,9700.0,8425.0,9295.0,9120.0,9000.0,8375.0,8900.0,9125.0,8947.5,8997.5,9800.0,10000.0,9975.0,10125.0,11972.5,11500.0,12000.0,11580.0,10750.0,9925.0,9950.0,9500.0,9950.0,9995.0,10375.0,10500.0,12000.0,11950.0,12500.0,13497.5,12847.5,11900.0,10095.0,9500.0,9200.0,10500.0,10000.0,11000.0,11340.0,12700.0,13900.0,11512.5,10400.0,11497.5,11497.5,11100.0,12500.0,12947.5,12247.5,14000.0,14128.0,15666.5,16000.0,13500.0
All Upper Manhattan,Manhattan,submarket,2700.0,2672.5,2600.0,2795.0,2800.0,2600.0,2600.0,2700.0,2700.0,2600.0,2400.0,2399.5,2400.0,2500.0,2595.0,2750.0,2799.0,2799.5,3100.0,2845.0,3000.0,3000.0,2850.0,2875.0,2997.0,2900.0,2995.0,3195.0,3000.0,2800.0,2850.0,2800.0,2850.0,2900.0,2937.5,2850.0,2800.0,2875.0,2900.0,2850.0,2950.0,2975.0,3000.0,3100.0,3100.0,3000.0,3000.0,2995.0,3000.0,2900.0,2800.0,3000.0,3000.0,2995.0,3000.0,3000.0,3000.0,3000.0,2995.0,2950.0,2938.5,2950.0,2900.0,2995.0,3000.0,3138.0,3200.0,3200.0,3244.0,3200.0,3000.0,3000.0,3000.0,3000.0,3150.0,3200.0,3200.0,3200.0,3200.0,3200.0,3207.5,3300.0,3200.0,3083.0,3100.0,3000.0,3040.0,3162.0,3250.0,3250.0,3295.0,3200.0,3200.0,3075.0,2999.0,2998.0,2997.5,3000.0,3100.0,3197.0,3250.0,3300.0,3297.0,3300.0,3209.0,3048.5,3000.0,2999.0,3000.0,3000.0,3025.0,3195.0,3255.0,3300.0,3300.0,3300.0,3300.0,3254.0,3192.5,3195.0,3195.0,3200.0,3250.0,3300.0,3243.5,3199.0,3095.0,2975.0,2850.0,2795.0,2750.0,2725.0,2750.0,2795.0,2795.0,2800.0,2895.0,2995.0,3000.0,2999.0,2995.0,2995.0,2915.0,2995.0,2900.0,2995.0,3000.0,3200.0,3340.0,3500.0,3695.0,3744.0,3500.0,3560.0,3500.0,3500.0,3500.0,3500.0,3450.0,3500.0,3600.0,3750.0,3750.0,3697.0,3700.0,3700.0,3500.0,3597.5,3600.0,3700.0,3695.0,3797.5,3895.0,3972.5,3995.0,3995.0,3995.0,3895.0,3750.0,3834.5,3800.0,3800.0,3895.0,3895.0,3990.5,4185.0,4275.0,4295.0,3999.5,3980.0,3995.0,3995.0,3950.0,3962.5,4000.0
All Upper West Side,Manhattan,submarket,7000.0,7000.0,7000.0,7950.0,8997.5,8500.0,7250.0,7550.0,8000.0,8495.0,9000.0,8000.0,8500.0,8950.0,9000.0,8900.0,8495.0,8125.0,7949.5,7999.5,8425.0,8500.0,8950.0,8500.0,9000.0,8995.0,9500.0,9900.0,9000.0,9500.0,8900.0,8472.0,8500.0,8997.5,8995.0,9000.0,8500.0,8600.0,9200.0,8900.0,8500.0,8500.0,8000.0,7762.5,9285.0,9000.0,8500.0,8425.0,8100.0,8995.0,8600.0,9200.0,9000.0,9000.0,8700.0,8750.0,8450.0,8447.5,8850.0,8900.0,9412.5,9125.0,9500.0,9407.0,8750.0,8200.0,8500.0,8455.0,8995.0,9000.0,8500.0,9350.0,8762.5,8795.0,8350.0,8500.0,8000.0,7800.0,7850.0,7475.0,7825.0,7499.0,7500.0,7749.0,7965.0,8500.0,8077.0,8000.0,7250.0,7050.0,6700.0,6500.0,6596.0,6862.5,7000.0,7395.0,7218.5,7112.5,6995.0,6995.0,6997.5,6950.0,6000.0,6799.5,6995.0,7000.0,7800.0,7995.0,8000.0,7661.0,6875.0,6785.0,7122.5,6897.5,6500.0,6490.0,6500.0,7333.0,7950.0,8575.0,8769.0,8500.0,8000.0,7285.0,6900.0,6508.5,6517.5,6000.0,5995.0,6000.0,6200.0,6200.0,6500.0,6870.0,6500.0,6417.0,6200.0,6000.0,6000.0,6000.0,6547.5,8047.5,8423.5,8000.0,7600.0,8800.0,8500.0,8250.0,7995.0,8210.0,8950.0,9250.0,9957.0,9572.5,9272.5,10000.0,10000.0,10000.0,8995.0,9950.0,9525.5,8635.0,8500.0,8000.0,8897.5,8875.0,9475.0,9800.0,9500.0,9000.0,9472.5,8909.0,8722.5,8500.0,7500.0,8000.0,8925.0,8995.0,8995.0,9000.0,9500.0,9700.0,9400.0,9500.0,8500.0,7800.0,8495.0,8865.0,9110.0,9850.0,10500.0,10999.0,13600.0,11500.0,10995.0
Astoria,Queens,neighborhood,2000.0,2150.0,2100.0,2050.0,2000.0,2150.0,,,,,,,,,,,2250.0,2300.0,,,,,2450.0,2500.0,2500.0,3000.0,2850.0,2975.0,2500.0,3300.0,3275.0,3275.0,,2650.0,2500.0,2700.0,2500.0,2599.0,2700.0,3000.0,2850.0,2800.0,2650.0,2750.0,2900.0,3000.0,3000.0,2800.0,2800.0,2800.0,2800.0,2850.0,2900.0,2875.0,2950.0,3000.0,3000.0,2995.0,2800.0,2800.0,2900.0,2900.0,3000.0,3000.0,2900.0,2850.0,2800.0,2972.5,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3100.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2950.0,3000.0,2975.0,2999.5,3000.0,3000.0,3000.0,3000.0,3000.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2800.0,2850.0,2850.0,2818.5,2895.0,2922.5,2950.0,2999.0,2900.0,2800.0,2700.0,2895.0,2900.0,2900.0,2950.0,2995.0,3000.0,2900.0,2900.0,2900.0,2900.0,2850.0,2900.0,3000.0,2999.5,2950.0,2985.0,3000.0,3000.0,2900.0,2900.0,2900.0,2800.0,2700.0,2662.5,2600.0,2600.0,2672.5,2690.0,2700.0,2750.0,2800.0,2875.0,3000.0,2900.0,2850.0,2900.0,2850.0,2900.0,2895.0,3000.0,3062.5,3100.0,3275.0,3350.0,3500.0,3500.0,3500.0,3300.0,3500.0,3400.0,3235.0,3200.0,3200.0,3500.0,3600.0,3800.0,3700.0,3550.0,3599.5,3499.0,3500.0,3600.0,3600.0,3549.5,3750.0,3800.0,3600.0,3600.0,3763.5,3700.0,3700.0,3600.0,3800.0,3650.0,3675.0,3750.0,3950.0,3850.0,3850.0,3995.0,4200.0,3999.0,3750.0,3797.5,3700.0,3800.0,3950.0,3900.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449.0,,,2672.5,,,,,,,,,,,,,2650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.0,,,,,,2100.0,2150.0,2150.0,2400.0,2400.0,2300.0,2300.0,2300.0,2200.0,2300.0,2300.0,2300.0,2375.0,2350.0,2575.0,2550.0,2300.0,2300.0,2399.0,2400.0,2350.0,2350.0,,2322.5,2299.0,,,2447.0,2300.0,2200.0,2150.0,2250.0,2300.0,,2475.0,2500.0,2500.0,2325.0,,2540.0,,,2400.0,2400.0,,2450.0,,,2400.0,,,,,,,,,,,,,,2600.0,,2300.0,,2499.0,2375.0,2450.0,2500.0,2499.5,,2700.0,2500.0,,,,,,,,,,,,,,,,,,,,3100.0,3000.0,,,,,,,,,,,,,,,,3000.0,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,7895.0,8700.0,8500.0,9500.0,10000.0,10000.0,12000.0,11700.0,10000.0,10000.0,10000.0,10000.0,10975.0,9095.0,11950.0,12225.0,12500.0,11000.0,11950.0,11950.0,10450.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10500.0,10250.0,9700.0,9625.0,9995.0,10000.0,10000.0,9995.0,10000.0,10000.0,10000.0,10000.0,10000.0,10750.0,11500.0,10800.0,11200.0,10044.5,10000.0,10500.0,9922.5,11000.0,10000.0,9800.0,10750.0,11000.0,11000.0,11375.0,12500.0,12500.0,12500.0,12500.0,12750.0,11875.0,10800.0,13500.0,12500.0,12500.0,13500.0,13500.0,12500.0,11500.0,12250.0,11950.0,11950.0,11725.0,11000.0,11791.0,11900.0,12000.0,11900.0,11650.0,11750.0,10500.0,10500.0,10800.0,11500.0,11600.0,11700.0,11000.0,11000.0,10450.0,11000.0,11317.5,12067.5,11635.0,11875.0,10900.0,12500.0,10900.0,12500.0,12900.0,12900.0,12500.0,12500.0,12700.0,12500.0,12000.0,12000.0,12000.0,11250.0,12125.0,13812.5,12475.0,12000.0,11875.0,11300.0,10600.0,10550.0,9975.0,10900.0,10950.0,10900.0,,12500.0,12500.0,,10400.0,10500.0,10900.0,10950.0,10950.0,10950.0,11000.0,10950.0,10600.0,11750.0,10925.0,11275.0,11250.0,12000.0,11000.0,10675.0,,,,10500.0,,,,15995.0,16500.0,,12500.0,12990.0,13000.0,14000.0,12000.0,15995.0,16000.0,16000.0,15000.0,18000.0,14000.0,13125.0,12900.0,11000.0,11000.0,10935.0,12387.5,9895.0,,,14125.0,13225.0,14250.0,14500.0,13225.0,13250.0,14000.0,13500.0,14249.5,14475.0,11875.0,10168.0,11309.0,,,16875.0,16000.0,13995.0,14497.5,13747.5,13500.0,13500.0,16000.0,16375.0,
Bay Ridge,Brooklyn,neighborhood,,,,,,,,,,,,,,,,1900.0,,,,,,,,,,,,,,,,,,,,,,,2597.5,,,,2722.5,2300.0,2500.0,2500.0,2400.0,2400.0,2300.0,2495.0,2400.0,2600.0,2637.5,2735.0,2599.5,2625.0,2797.5,2600.0,2525.0,2500.0,2500.0,2600.0,2550.0,2500.0,2600.0,2500.0,2600.0,3047.5,2900.0,2550.0,2647.5,2650.0,2549.5,2500.0,2795.0,2697.5,2600.0,2600.0,2600.0,2700.0,2649.5,2700.0,2600.0,2600.0,2500.0,2499.0,2400.0,2400.0,2500.0,2600.0,2600.0,2599.0,2595.0,2595.0,2599.0,2600.0,2572.5,2500.0,2500.0,2550.0,2500.0,2500.0,2500.0,2549.5,2500.0,2595.0,2600.0,2600.0,2600.0,2537.5,2600.0,2600.0,2700.0,2650.0,2699.0,2600.0,2600.0,2597.5,2600.0,2600.0,2600.0,2500.0,2500.0,2625.0,2525.0,2500.0,2600.0,2595.0,2500.0,2500.0,2500.0,2595.0,2600.0,2500.0,2625.0,2500.0,2595.0,2600.0,2650.0,2500.0,2500.0,2597.5,2600.0,2650.0,2625.0,2600.0,2800.0,2900.0,2700.0,2825.0,2999.5,3000.0,3000.0,3000.0,2975.0,2999.5,3000.0,3000.0,3000.0,3250.0,3000.0,3000.0,3050.0,3300.0,3250.0,3000.0,2999.5,3000.0,3450.0,3400.0,3300.0,3300.0,3275.0,3400.0,3500.0,3400.0,3149.5,3550.0,3500.0,3547.5,3499.0,3400.0,3450.0,3650.0,3400.0,3600.0,3575.0,3600.0,3700.0,3700.0,3600.0,3499.5,3600.0,3600.0,3600.0
