areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
All Downtown,Manhattan,submarket,4400.0,4450.0,4400.0,4400.0,4400.0,4295.0,4295.0,4500.0,4995.0,5200.0,5250.0,4995.0,4995.0,5350.0,5100.0,4800.0,4625.0,4550.0,4500.0,4495.0,4755.0,4995.0,4900.0,4795.0,4893.0,4995.0,4950.0,4750.0,4595.0,4750.0,4595.0,4700.0,4800.0,4800.0,4950.0,4800.0,4695.0,4750.0,4895.0,4600.0,4500.0,4500.0,4400.0,4500.0,4595.0,4695.0,5000.0,5000.0,4995.0,4797.5,4760.0,4750.0,4595.0,4500.0,4295.0,4250.0,4420.0,4439.5,4395.0,4400.0,4500.0,4750.0,4750.0,4600.0,4650.0,4495.0,4350.0,4495.0,4800.0,4900.0,4999.5,5000.0,4995.0,4950.0,4900.0,4800.0,4600.0,4750.0,4714.0,4750.0,4797.5,4700.0,4700.0,4585.0,4700.0,4750.0,4661.0,4500.0,4500.0,4295.0,4250.0,4295.0,4500.0,4550.0,4600.0,4695.0,4600.0,4650.0,4681.0,4450.0,4400.0,4300.0,4200.0,4200.0,4497.5,4589.5,4675.0,4750.0,4990.0,4750.0,4475.0,4324.5,4442.5,4495.0,4400.0,4495.0,4795.0,4898.5,5250.0,5450.0,5500.0,5250.0,5000.0,4895.0,4300.0,4034.0,3950.0,3833.0,3800.0,3600.0,3646.0,3700.0,3700.0,3750.0,3595.0,3592.0,3795.0,4071.0,4195.0,4600.0,4974.0,5467.0,5500.0,5255.0,5295.0,5599.5,5495.0,5393.5,5400.0,5400.0,5495.0,5550.0,5997.5,6000.0,6022.5,6000.0,6000.0,6172.5,5795.0,5610.0,5495.0,5395.0,5200.0,5350.0,5800.0,5850.0,5800.0,5900.0,6000.0,5996.0,5995.0,5795.0,5495.0,5400.0,5400.0,5450.0,5500.0,5750.0,5956.0,6000.0,6300.0,6300.0,5995.0,5995.0,5800.0,5995.0,6000.0,6131.0,6357.0,6500.0,6800.0,6764.0,6995.0,6575.0,6495.0
All Midtown,Manhattan,submarket,4690.0,4500.0,4500.0,4495.0,4500.0,4500.0,4495.0,4500.0,4625.0,4795.0,4800.0,4950.0,5000.0,5000.0,5000.0,5000.0,4982.5,4995.0,4937.5,4950.0,5000.0,5000.0,5000.0,5000.0,5100.0,5125.0,5250.0,5200.0,5295.0,5400.0,5000.0,5150.0,5100.0,5000.0,4900.0,4800.0,4900.0,5000.0,4950.0,4925.0,4995.0,4947.5,4895.0,4800.0,5000.0,5000.0,5000.0,4995.0,4920.5,4969.0,4969.0,4902.5,4889.0,5000.0,5000.0,4950.0,5000.0,5000.0,5097.5,5030.0,5000.0,5000.0,5124.0,5082.5,5200.0,5120.0,5135.0,5087.5,5075.0,5000.0,5000.0,5095.0,5100.0,5137.5,5095.0,5120.0,5000.0,5000.0,4999.0,4918.0,4999.0,4995.0,4900.0,4900.0,4950.0,5000.0,5000.0,4950.0,4995.0,4950.0,4800.0,4797.5,4955.0,4995.0,4590.0,4590.0,4750.0,4800.0,4750.0,4777.5,4636.5,4750.0,4600.0,4707.0,4695.0,4750.0,4800.0,4800.0,4850.0,4900.0,4797.5,4800.0,4892.0,4795.0,4800.0,4985.0,5106.0,5152.5,5152.5,5195.0,5136.0,5100.0,5100.0,4950.0,4571.0,4100.0,3992.0,3866.0,3877.0,3905.0,3950.0,4000.0,4100.0,4195.0,4297.5,4400.0,4485.0,4250.0,4950.0,5453.0,5900.0,5902.5,5989.5,5872.5,5900.0,5907.5,5815.5,5950.0,6000.0,5995.0,6000.0,6000.0,6133.0,6000.0,5995.0,6050.0,6150.0,6201.5,6100.0,6000.0,6056.0,6025.0,5995.0,6012.0,5950.0,5995.0,5995.0,5990.0,6150.0,6083.0,6083.0,6195.0,5995.0,5750.0,5750.0,6000.0,6000.0,6000.0,6130.0,6285.0,6333.0,6399.0,6332.0,6400.0,6465.0,6500.0,6500.0,6303.0,6400.0,6395.0,6349.0,6527.5,6695.0,6775.5,6900.0
All Upper East Side,Manhattan,submarket,3500.0,3625.0,3800.0,3950.0,3995.0,3900.0,3825.0,3750.0,3800.0,3800.0,3950.0,3950.0,3900.0,3887.5,3800.0,3975.0,3893.5,3992.5,3900.0,3850.0,4000.0,3995.0,3950.0,4000.0,4000.0,3995.0,3900.0,3850.0,3750.0,3775.0,3862.5,3700.0,3950.0,3950.0,4047.5,3925.0,4100.0,4000.0,3785.0,3725.0,3600.0,3500.0,3395.0,3500.0,3695.0,3550.0,3850.0,3695.0,3600.0,3897.5,3600.0,3600.0,3540.0,3575.0,3500.0,3300.0,3250.0,3450.0,3700.0,3950.0,4097.5,3997.5,4000.0,3825.0,3699.0,3625.0,3600.0,3650.0,3895.0,3795.0,3550.0,3800.0,3900.0,4174.0,4100.0,3987.5,3750.0,3655.0,3695.0,3500.0,3672.5,3600.0,3695.0,3800.0,3850.0,3995.0,3695.0,3550.0,3595.0,3600.0,3600.0,3700.0,4125.0,3857.5,4145.0,4352.0,4132.0,4105.0,3800.0,3495.0,3495.0,3400.0,3498.5,3495.0,3600.0,3500.0,3650.0,3875.0,3950.0,3865.0,3750.0,3675.0,3435.0,3450.0,3612.5,3618.0,3995.0,4597.0,4950.0,5000.0,4800.0,4800.0,4700.0,4600.0,3950.0,3500.0,3500.0,3400.0,3300.0,3100.0,2995.0,3089.0,3049.5,3200.0,3000.0,2995.0,2995.0,2937.5,3100.0,3400.0,4100.0,4502.5,4795.0,4950.0,5197.5,4990.0,4992.5,4600.0,4300.0,4400.0,4500.0,4894.0,5000.0,5300.0,5495.0,5500.0,5650.0,5900.0,5650.0,4995.0,4695.0,4500.0,4550.0,4695.0,4975.0,5200.0,5500.0,5370.0,5384.0,5400.0,5397.5,4850.0,4650.0,4500.0,4397.5,4500.0,4300.0,4650.0,4962.5,5300.0,5680.0,5500.0,4995.0,5495.0,5300.0,5250.0,4995.0,5250.0,5447.5,5495.0,5535.0,6096.5,6200.0,6197.5,5900.0
All Upper Manhattan,Manhattan,submarket,2000.0,1985.0,1950.0,1950.0,1975.0,1975.0,2000.0,2000.0,2000.0,2000.0,2100.0,2000.0,2000.0,2000.0,2200.0,2100.0,2200.0,2300.0,2370.0,2370.0,2372.5,2300.0,2300.0,2300.0,2300.0,2200.0,2225.0,2212.5,2200.0,2200.0,2250.0,2262.5,2295.0,2250.0,2200.0,2172.5,2195.0,2200.0,2300.0,2200.0,2200.0,2200.0,2300.0,2380.0,2400.0,2300.0,2295.0,2200.0,2200.0,2200.0,2200.0,2260.0,2200.0,2200.0,2200.0,2300.0,2300.0,2295.0,2246.0,2250.0,2250.0,2250.0,2250.0,2261.0,2300.0,2375.0,2400.0,2400.0,2407.5,2400.0,2400.0,2350.0,2395.0,2400.0,2400.0,2400.0,2400.0,2350.0,2400.0,2450.0,2475.0,2455.0,2400.0,2400.0,2400.0,2366.0,2400.0,2400.0,2400.0,2429.0,2450.0,2495.0,2495.0,2450.0,2399.0,2395.0,2382.0,2395.0,2395.0,2487.5,2500.0,2500.0,2500.0,2495.0,2475.0,2400.0,2395.0,2400.0,2450.0,2499.0,2500.0,2500.0,2500.0,2556.0,2550.0,2550.0,2525.0,2500.0,2500.0,2521.0,2595.0,2550.0,2500.0,2500.0,2500.0,2500.0,2495.0,2400.0,2375.0,2333.0,2300.0,2300.0,2300.0,2299.0,2350.0,2356.5,2350.0,2400.0,2400.0,2395.0,2365.0,2400.0,2400.0,2423.0,2450.0,2499.5,2500.0,2550.0,2679.0,2800.0,2895.0,2850.0,2825.0,2822.5,2825.0,2750.0,2800.0,2800.0,2799.5,2897.5,2995.0,3000.0,2995.0,2995.0,2995.0,2900.0,2950.0,2895.0,2900.0,3000.0,3078.5,3100.0,3150.0,3195.0,3100.0,3069.5,3000.0,3000.0,2995.0,2999.0,3050.0,3006.5,3100.0,3290.0,3350.0,3450.0,3495.0,3395.0,3395.0,3395.0,3366.0,3342.0,3399.0,3295.0,3300.0
All Upper West Side,Manhattan,submarket,4200.0,4100.0,4100.0,4497.5,4500.0,4500.0,3995.0,4000.0,4250.0,4300.0,4250.0,4400.0,4300.0,4500.0,4500.0,4500.0,4750.0,4672.5,4500.0,4600.0,4797.5,4750.0,4950.0,4950.0,4875.0,4750.0,4570.0,4800.0,4800.0,4597.5,4600.0,4775.0,4900.0,4900.0,4925.0,4950.0,4950.0,5000.0,4950.0,4672.5,4695.0,4497.0,4495.0,4425.0,4672.5,4805.0,4699.5,4715.0,4607.5,4600.0,4500.0,4802.5,4995.0,4700.0,4295.0,4350.0,4500.0,4450.0,4450.0,4375.0,4589.5,4600.0,4547.5,4522.5,4500.0,4400.0,4304.0,4475.0,4775.0,4884.0,4983.0,5000.0,4950.0,4995.0,4800.0,4890.0,4850.0,4495.0,4500.0,4550.0,4500.0,4497.5,4600.0,4600.0,4602.5,4675.0,4500.0,4500.0,4495.0,4450.0,4221.0,4200.0,4450.0,4495.0,4500.0,4695.0,4797.5,4900.0,4500.0,4500.0,4500.0,4500.0,4450.0,4570.0,4583.0,4795.0,4611.0,4500.0,4695.0,4650.0,4457.0,4333.0,4450.0,4150.0,4200.0,4600.0,4695.0,4725.0,4950.0,4897.5,4950.0,4800.0,4758.5,4800.0,4500.0,4440.0,4300.0,4046.5,3995.0,3900.0,3915.5,3950.0,3999.0,4000.0,4100.0,4200.0,4300.0,4650.0,4637.5,4850.0,5500.0,5500.0,5656.0,5757.0,6043.0,5985.0,5900.0,5899.0,5995.0,5800.0,6200.0,6168.5,6095.0,5916.5,5800.0,5751.5,5750.0,5822.0,5995.0,6100.0,5797.5,5803.0,5875.0,6000.0,5895.0,5900.0,5995.0,6000.0,6120.5,6285.0,6261.0,6072.0,6250.0,5800.0,5500.0,5761.0,5600.0,5895.0,5895.0,5875.0,5997.5,6200.0,6509.0,6200.0,5995.0,6125.0,6005.0,6250.0,6350.0,6180.0,6272.5,6495.0,6300.0,6750.0,6950.0
Astoria,Queens,neighborhood,1700.0,1800.0,1800.0,1875.0,1950.0,1907.0,1875.0,2000.0,1797.5,1897.5,1775.0,2000.0,2050.0,2000.0,2150.0,2250.0,2300.0,2000.0,2000.0,2000.0,2150.0,2300.0,2400.0,2600.0,2550.0,2450.0,2225.0,2250.0,2500.0,2500.0,2500.0,2500.0,2425.0,2395.0,2100.0,2100.0,2100.0,2000.0,2000.0,2200.0,2300.0,2300.0,2350.0,2200.0,2250.0,2200.0,2200.0,2150.0,2200.0,2100.0,2100.0,2200.0,2200.0,2200.0,2300.0,2300.0,2300.0,2300.0,2250.0,2200.0,2372.5,2400.0,2365.0,2400.0,2300.0,2300.0,2300.0,2385.5,2400.0,2350.0,2300.0,2300.0,2300.0,2350.0,2400.0,2350.0,2377.5,2400.0,2400.0,2400.0,2400.0,2350.0,2350.0,2390.0,2300.0,2300.0,2300.0,2300.0,2300.0,2350.0,2399.0,2350.0,2300.0,2300.0,2300.0,2300.0,2300.0,2299.0,2300.0,2295.0,2300.0,2299.0,2300.0,2300.0,2300.0,2300.0,2300.0,2255.0,2300.0,2299.5,2300.0,2300.0,2300.0,2350.0,2375.0,2399.5,2400.0,2400.0,2400.0,2400.0,2400.0,2499.0,2412.5,2395.0,2350.0,2350.0,2300.0,2295.0,2200.0,2175.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2175.0,2200.0,2300.0,2300.0,2299.0,2300.0,2400.0,2400.0,2425.0,2400.0,2500.0,2600.0,2700.0,2720.5,2890.5,2850.0,2800.0,2700.0,2750.0,2700.0,2799.0,2850.0,2800.0,2795.0,2850.0,2995.0,2999.0,2900.0,2999.0,2900.0,3000.0,3000.0,3200.0,3225.0,3200.0,3200.0,3100.0,3200.0,3150.0,3000.0,3000.0,3000.0,2925.0,3000.0,3100.0,3100.0,3200.0,3200.0,3400.0,3650.0,3690.0,3500.0,3500.0,3500.0,3500.0,3499.0,3500.0,3300.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,,,,,,,,1895.0,1850.0,1775.0,1800.0,1925.0,1925.0,,,,,,,1900.0,1900.0,1947.5,2022.5,1950.0,1900.0,1795.0,1800.0,1799.0,1725.0,1799.0,1850.0,1900.0,1850.0,1800.0,1795.0,1775.0,1800.0,,1975.0,1985.0,1962.5,,2000.0,,,,,,,,,,,1799.0,1874.5,1950.0,2000.0,1950.0,1922.5,1800.0,1800.0,1750.0,1725.0,1750.0,1750.0,1799.0,1850.0,1850.0,1950.0,2197.5,1955.0,,2200.0,,2100.0,,,,,,,,,,,2250.0,,2400.0,2324.5,2200.0,2199.0,,,2300.0,,,,2375.0,2300.0,,,,,,,,,,,,2675.0,,,,,,
Battery Park City,Manhattan,neighborhood,4615.0,4887.5,4600.0,4975.0,5125.0,5822.5,5595.0,5445.0,5500.0,5400.0,5650.0,5495.0,5450.0,5237.5,5695.0,5695.0,5717.5,5700.0,5647.5,5600.0,5457.5,5712.5,5310.0,5380.0,5500.0,5650.0,5422.5,5800.0,5950.0,6000.0,6250.0,6050.0,5995.0,5995.0,5800.0,6250.0,6250.0,6345.0,6357.5,6500.0,6622.5,6547.5,6172.5,5995.0,6000.0,5950.0,6000.0,6197.5,6147.5,6000.0,6200.0,6000.0,6295.0,6625.0,6295.0,6295.0,6450.0,6372.5,5300.0,5995.0,6000.0,6500.0,6695.0,6697.5,6500.0,6500.0,6750.0,6900.0,6850.0,6675.0,6500.0,6650.0,6650.0,6500.0,6650.0,6500.0,6902.5,6785.0,6600.0,6585.0,6500.0,6500.0,6525.0,6500.0,6897.5,6800.0,6900.0,7077.5,7000.0,6995.0,6915.0,6780.0,6900.0,6500.0,6687.0,6687.0,6200.0,5975.0,6100.0,6900.0,6900.0,6911.5,6900.0,6900.0,6302.0,6450.0,6520.0,6520.0,6912.5,6800.0,6812.5,6749.0,6750.0,7385.0,6812.0,6864.5,6704.0,6700.5,6900.0,6785.5,6760.0,6766.5,7200.0,6995.0,6847.5,6800.0,6775.0,6750.0,6649.0,6550.0,6000.0,6550.0,6462.5,6450.0,6200.0,6500.0,6500.0,7075.0,7250.0,7200.0,6862.5,6647.5,6250.0,6200.0,5999.0,6425.0,6545.0,7878.0,8400.0,8300.0,8125.0,8391.0,8255.0,7700.0,7895.0,7355.0,7800.0,8347.5,8087.5,7995.0,8500.0,8322.5,8000.0,8262.5,8262.5,8049.5,7760.0,8325.0,7575.0,7765.0,8217.5,8397.5,8397.5,8699.5,8800.0,8750.0,8447.5,8517.5,6800.0,6866.0,7000.0,7944.0,7412.5,7895.0,7952.0,8159.5,7904.0,7700.0,8021.5,8100.0,7484.5,7395.0,7500.0,8034.0,7983.0
Bay Ridge,Brooklyn,neighborhood,1600.0,1675.0,1625.0,1550.0,,1650.0,1575.0,,1575.0,1600.0,1600.0,1600.0,1500.0,1500.0,1500.0,1500.0,1650.0,1749.5,1800.0,1825.0,1825.0,1799.0,1825.0,,,2050.0,1900.0,1825.0,,,,2325.0,2100.0,2045.0,1970.0,2350.0,2000.0,1900.0,2095.0,2095.0,2000.0,1997.5,2000.0,2000.0,2000.0,1900.0,1900.0,1900.0,2000.0,2000.0,1950.0,1862.5,2000.0,2195.0,2095.0,2047.5,2095.0,2100.0,2100.0,2100.0,2100.0,2100.0,2000.0,2100.0,2099.5,2087.0,2250.0,2200.0,2200.0,2200.0,2075.0,2062.5,2100.0,2197.5,2200.0,2200.0,2200.0,2200.0,2225.0,2295.0,2200.0,2175.0,2200.0,2250.0,2200.0,2150.0,2100.0,2200.0,2200.0,2200.0,2200.0,2072.5,2100.0,2150.0,2150.0,2150.0,2150.0,2100.0,2100.0,2100.0,2100.0,2200.0,2125.0,2150.0,2200.0,2100.0,2124.5,2100.0,2200.0,2200.0,2185.0,2200.0,2200.0,2197.5,2150.0,2150.0,2200.0,2225.0,2200.0,2300.0,2300.0,2300.0,2295.0,2300.0,2200.0,2200.0,2150.0,2200.0,2195.0,2050.0,2100.0,2000.0,2000.0,2050.0,2100.0,2050.0,2100.0,2150.0,2200.0,2192.5,2250.0,2299.5,2200.0,2175.0,2200.0,2300.0,2350.0,2350.0,2350.0,2397.5,2500.0,2500.0,2475.0,2400.0,2325.0,2350.0,2500.0,2500.0,2450.0,2475.0,2600.0,2600.0,2625.0,2597.5,2600.0,2595.0,2600.0,2700.0,2600.0,2700.0,2850.0,2750.0,2600.0,2795.0,2795.0,2600.0,2750.0,2700.0,2700.0,2800.0,2750.0,2850.0,2800.0,2800.0,2750.0,2800.0,2950.0,2975.0,2850.0,2875.0,2895.0,2882.5,2995.0,2799.0,3000.0
